City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Flinders,AU,71.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
556,Talcher,IN,75.87,scattered clouds,20.95,85.2167,Hotel Green Park
557,Guiglo,CI,79.11,overcast clouds,6.5456,-7.4966,Hotel GBAOLY 2
558,Necochea,AR,76.12,few clouds,-38.5473,-58.7368,dyd -mar Hotel
559,Sao Gabriel Da Cachoeira,BR,79.99,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
560,Lucea,JM,82.85,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
561,Fomboni,KM,82.71,clear sky,-12.28,43.7425,Auberge les abou
562,Laguna,US,82.53,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
563,Dire Dawa,ET,75.63,broken clouds,9.5931,41.8661,Samrat Hotel
564,Nchelenge,ZM,70.0,light rain,-9.3451,28.734,KD Travellers Home
569,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
571,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
573,Kota Tinggi,MY,78.84,overcast clouds,1.7381,103.8999,Canopy Tribe
574,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
577,Elizabeth City,US,75.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
582,Sungai Petani,MY,84.07,overcast clouds,5.647,100.4877,Swiss-Inn Sungai Petani
583,Kudahuvadhoo,MV,82.36,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
584,Ontario,US,89.28,scattered clouds,34.0633,-117.6509,Capri Motel
592,Hobyo,SO,78.98,few clouds,5.3505,48.5268,Iftin hotel hobyo
593,Bireun,ID,77.56,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
598,Sri Aman,MY,73.45,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
599,Bombay,IN,82.38,smoke,19.0144,72.8479,Hotel Avon Ruby-Dadar
600,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
603,Champa,IN,73.99,broken clouds,22.05,82.65,Hotel Jaipuria
609,Robertson,US,75.18,broken clouds,36.5167,-86.8667,Hampton Inn Springfield
610,Minbu,MM,78.89,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
611,Omboue,GA,78.71,overcast clouds,-1.5746,9.2618,Hotel Olako
612,Lahaina,US,82.4,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
615,Maryville,US,78.28,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
616,Hervey Bay,AU,71.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
618,Benjamin Hill,MX,74.98,clear sky,30.1667,-111.1,Hotel Benjamín Hill
624,Axim,GH,81.63,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
629,Viedma,AR,78.26,clear sky,-40.8135,-62.9967,Hotel Cristal
630,Shasta Lake,US,82.76,clear sky,40.6804,-122.3708,Shasta Dam Motel
636,Vangaindrano,MG,72.97,overcast clouds,-23.35,47.6,Hotel Fanilo
638,Catalao,BR,72.86,light rain,-18.1658,-47.9464,Mara Turismo Hotel
639,Torit,SS,79.16,broken clouds,4.4133,32.5678,Diplomat Guest House
645,Poum,NC,79.47,overcast clouds,-20.2333,164.0167,
647,Guhagar,IN,75.74,scattered clouds,17.4842,73.1929,Hotel Seawinds
650,Tibati,CM,76.48,overcast clouds,6.4667,12.6333,Tibati Hotel
651,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
654,Buchanan,LR,79.95,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
657,Kolokani,ML,85.77,broken clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
658,Hirara,JP,70.3,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
