City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Qaanaaq,GL,2022-03-20 18:43:54,77.484,-69.3632,-4.58,92,100,6.51
59,Airai,TL,2022-03-20 18:43:55,-8.9266,125.4092,60.08,90,94,1.36
60,Kuryk,KZ,2022-03-20 18:43:55,43.2,51.65,29.77,52,0,14.38
61,Nishihara,JP,2022-03-20 18:43:55,26.1842,127.7558,69.85,81,100,8.05
62,Hobart,AU,2022-03-20 18:43:56,-42.8794,147.3294,55.26,97,100,4.61
63,Georgetown,MY,2022-03-20 18:43:56,5.4112,100.3354,82.33,87,20,5.75
64,Vigrestad,NO,2022-03-20 18:43:56,58.5667,5.7,47.88,63,0,22.68
65,Qaqortoq,GL,2022-03-20 18:43:57,60.7167,-46.0333,13.42,72,0,3.85
66,Comodoro Rivadavia,AR,2022-03-20 18:43:57,-45.8667,-67.5,69.66,40,0,11.5
67,Kurumkan,RU,2022-03-20 18:43:57,54.3,110.3,-0.67,92,56,4.56
68,Homer,US,2022-03-20 18:43:58,59.6425,-151.5483,39.04,58,0,10.36
69,Okhotsk,RU,2022-03-20 18:43:58,59.3833,143.3,11.37,80,100,17.09
70,Aswan,EG,2022-03-20 18:43:59,24.0934,32.907,72.59,16,0,9.71
71,Banda Aceh,ID,2022-03-20 18:44:00,5.5577,95.3222,79.52,76,100,13.22
72,Kaitangata,NZ,2022-03-20 18:44:00,-46.2817,169.8464,47.55,95,30,2.89
73,Cape Town,ZA,2022-03-20 18:39:56,-33.9258,18.4232,75.11,74,0,17.27
74,Carbonia,IT,2022-03-20 18:44:01,39.1672,8.5222,52.75,84,93,10.94
75,Avarua,CK,2022-03-20 18:44:01,-21.2078,-159.775,80.65,89,40,3.44
76,Haines Junction,CA,2022-03-20 18:44:01,60.7522,-137.5108,17.55,67,98,0.0
77,Upernavik,GL,2022-03-20 18:44:02,72.7868,-56.1549,-6.16,93,89,3.42
78,Pevek,RU,2022-03-20 18:44:02,69.7008,170.3133,-12.53,89,5,4.09
79,Nanakuli,US,2022-03-20 18:44:03,21.3906,-158.1547,77.7,76,100,3.44
80,Kodiak,US,2022-03-20 18:44:03,57.79,-152.4072,35.11,93,100,14.97
81,Baruun-Urt,MN,2022-03-20 18:44:03,46.6806,113.2792,13.55,47,93,4.03
82,Atuona,PF,2022-03-20 18:44:04,-9.8,-139.0333,78.96,78,13,16.44
83,Thompson,CA,2022-03-20 18:42:11,55.7435,-97.8558,23.16,58,75,5.75
84,Batagay,RU,2022-03-20 18:44:04,67.6333,134.6333,-17.27,99,60,3.76
85,Kavieng,PG,2022-03-20 18:44:06,-2.5744,150.7967,82.71,73,37,12.39
86,Mpanda,TZ,2022-03-20 18:44:06,-6.3655,31.0409,67.89,95,100,1.23
87,Severo-Kurilsk,RU,2022-03-20 18:44:06,50.6789,156.125,32.81,98,100,8.39
88,Bluff,NZ,2022-03-20 18:44:07,-46.6,168.3333,55.47,90,100,7.94
89,Olafsvik,IS,2022-03-20 18:44:07,64.8945,-23.7142,34.03,69,94,16.37
90,Padang,ID,2022-03-20 18:44:08,-0.9492,100.3543,75.25,83,100,3.22
91,Mehamn,NO,2022-03-20 18:45:08,71.0357,27.8492,40.95,87,75,24.16
92,Dabola,GN,2022-03-20 18:45:08,10.75,-11.1167,90.73,29,88,5.06
93,Carnarvon,AU,2022-03-20 18:45:09,-24.8667,113.6333,77.07,78,10,21.85
94,Ponta Delgada,PT,2022-03-20 18:42:29,37.7333,-25.6667,61.5,88,75,23.02
95,Oistins,BB,2022-03-20 18:45:09,13.0667,-59.5333,80.69,65,20,23.02
96,Sumenep,ID,2022-03-20 18:45:10,-7.0167,113.8667,79.16,80,96,0.51
97,Limbang,MY,2022-03-20 18:45:10,4.75,115.0,75.31,98,100,2.26
98,Chuy,UY,2022-03-20 18:45:10,-33.6971,-53.4616,66.09,42,13,12.75
99,Beringovskiy,RU,2022-03-20 18:45:11,63.05,179.3167,-0.04,80,15,3.6
100,Alice Springs,AU,2022-03-20 18:45:11,-23.7,133.8833,69.22,32,0,0.0
101,Hambantota,LK,2022-03-20 18:45:11,6.1241,81.1185,80.94,94,20,5.75
102,High Prairie,CA,2022-03-20 18:42:17,55.4334,-116.4858,36.82,65,60,11.61
103,Zig,US,2022-03-20 18:45:12,40.127,-92.7663,69.91,30,0,12.66
104,Murray Bridge,AU,2022-03-20 18:45:12,-35.1167,139.2667,60.12,87,79,5.1
105,Lebu,CL,2022-03-20 18:45:13,-37.6167,-73.65,61.95,69,75,8.7
106,Vardo,NO,2022-03-20 18:45:13,70.3705,31.1107,33.78,93,75,6.91
107,Verkhoyansk,RU,2022-03-20 18:45:14,67.5447,133.385,-26.12,100,36,2.44
108,Mabaruma,GY,2022-03-20 18:45:14,8.2,-59.7833,78.17,88,52,7.25
109,Berlevag,NO,2022-03-20 18:45:14,70.8578,29.0864,41.0,94,100,23.55
