City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Naze,JP,28.3667,129.4833,61.34,82,100,8.48,overcast clouds
144,Rafaela,AR,-31.2503,-61.4867,75.99,70,98,1.01,overcast clouds
145,Bilibino,RU,68.0546,166.4372,12.83,94,100,3.02,overcast clouds
146,Husavik,IS,66.0449,-17.3389,32.56,96,100,15.01,light snow
147,Kamaishi,JP,39.2667,141.8833,32.14,70,3,4.21,clear sky
148,Yuancheng,CN,36.652,107.7896,36.68,98,59,4.88,broken clouds
149,Sola,VU,-13.8833,167.55,82.22,74,100,12.3,overcast clouds
150,Male,MV,4.1748,73.5089,81.99,69,8,11.72,clear sky
151,La Libertad,EC,-2.2333,-80.9,83.86,70,0,11.5,clear sky
152,Prattville,US,32.464,-86.4597,80.11,51,100,20.71,overcast clouds
153,Petropavlovka,RU,50.6114,105.3196,11.75,94,74,3.91,broken clouds
154,Ikongo,MG,-21.8833,47.4333,69.19,98,100,0.87,overcast clouds
155,Bara,NG,10.3744,10.7288,85.91,12,58,2.8,broken clouds
156,Port Elizabeth,ZA,-33.918,25.5701,68.31,98,75,3.44,mist
157,La Ronge,CA,55.1001,-105.2842,33.13,86,95,7.23,overcast clouds
158,Kapaa,US,22.0752,-159.319,71.92,81,100,17.27,heavy intensity rain
159,Muana,BR,-1.5283,-49.2167,75.76,92,100,3.09,light rain
160,Ilulissat,GL,69.2167,-51.1,3.22,66,75,13.8,light shower snow
161,Lere,NG,10.387,8.5726,81.77,13,72,1.28,broken clouds
162,San Policarpo,PH,12.1791,125.5072,79.7,83,73,6.62,broken clouds
163,El Alto,PE,-4.2714,-81.2147,80.26,71,89,15.64,overcast clouds
164,Mombetsu,JP,44.3525,143.3525,27.97,85,19,7.63,few clouds
165,Mount Gambier,AU,-37.8333,140.7667,58.26,58,93,7.31,overcast clouds
166,Walvis Bay,NA,-22.9575,14.5053,64.09,73,21,6.78,light rain
167,Aktau,KZ,43.65,51.2,28.98,74,0,14.54,clear sky
168,Parrita,CR,9.5201,-84.3225,85.91,66,62,7.14,broken clouds
169,Hovd,MN,48.0056,91.6419,24.28,42,100,7.18,overcast clouds
170,Vanavara,RU,60.34,102.2797,13.44,97,100,5.08,overcast clouds
171,Inirida,CO,3.8653,-67.9239,85.44,64,72,1.83,broken clouds
172,Basoko,CD,1.2391,23.616,71.83,86,98,4.83,overcast clouds
173,San Patricio,US,28.017,-97.5169,82.49,27,0,17.65,clear sky
174,Yerbogachen,RU,61.2767,108.0108,14.16,98,100,3.53,overcast clouds
175,Kahului,US,20.8947,-156.47,82.42,65,40,23.02,scattered clouds
176,Westport,US,41.1415,-73.3579,57.27,16,0,16.11,clear sky
177,Sorong,ID,-0.8833,131.25,78.49,84,100,9.26,overcast clouds
178,Zacatecoluca,SV,13.5,-88.8667,90.23,46,60,10.42,broken clouds
179,Puerto Ayora,EC,-0.7393,-90.3518,85.96,86,55,8.99,broken clouds
180,Kant,IN,27.8,79.8,73.09,15,0,8.66,clear sky
181,Sijunjung,ID,-0.6876,100.9537,71.08,89,100,2.17,overcast clouds
182,Dayong,CN,25.0209,118.2898,57.94,96,100,2.26,light rain
183,Pasighat,IN,28.0667,95.3333,72.7,47,29,5.21,scattered clouds
184,Meiganga,CM,6.5167,14.3,71.73,17,95,2.93,overcast clouds
185,Noumea,NC,-22.2763,166.4572,78.01,99,92,6.22,overcast clouds
186,West Wendover,US,40.7391,-114.0733,52.81,37,100,4.61,overcast clouds
187,Netivot,IL,31.4222,34.5886,50.97,60,84,3.47,broken clouds
188,Klaksvik,FO,62.2266,-6.589,47.32,90,100,20.38,overcast clouds
189,Itoman,JP,26.1247,127.6694,66.97,96,75,8.05,broken clouds
190,Hamina,FI,60.5697,27.1979,33.08,88,26,5.66,scattered clouds
191,Markova,UA,48.6758,24.4138,38.41,71,0,4.18,clear sky
192,Normandin,CA,48.8333,-72.5321,32.31,76,93,15.19,overcast clouds
193,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,84,47,9.04,scattered clouds
194,Clearwater,US,27.9659,-82.8001,89.17,49,0,10.36,clear sky
195,Hamilton,US,39.1834,-84.5333,69.24,64,100,9.22,overcast clouds
196,Kazerun,IR,29.6195,51.6541,65.59,34,0,3.62,clear sky
197,Sheridan,US,44.8333,-106.9173,47.91,33,75,20.71,broken clouds
198,Grants Pass,US,42.439,-123.3284,72.28,56,0,8.05,clear sky
199,Santiago De Cao,PE,-7.9589,-79.2392,73.53,73,20,14.97,few clouds
200,Ust-Koksa,RU,50.2696,85.6108,18.99,95,100,4.99,light snow
201,Ust-Tsilma,RU,65.441,52.1498,27.57,79,99,14.45,overcast clouds
202,Hambantota,LK,6.1241,81.1185,78.62,83,53,8.61,broken clouds
203,Mogadishu,SO,2.0371,45.3438,79.16,78,3,12.66,clear sky
204,Kichera,RU,55.9375,110.0997,13.08,95,96,1.21,overcast clouds
205,Lata,PT,40.1629,-8.3327,56.8,96,100,3.8,light rain
206,Pemba,MZ,-12.974,40.5178,81.3,78,75,5.75,broken clouds
207,Ust-Kuyga,RU,70.0167,135.6,-5.22,98,100,1.59,overcast clouds
208,Paramonga,PE,-10.6667,-77.8333,73.29,77,12,11.14,few clouds
209,Riyadh,SA,24.6877,46.7219,71.74,14,0,3.83,clear sky
210,Srednekolymsk,RU,67.45,153.6833,7.43,95,100,3.11,light snow
211,Lebu,CL,-37.6167,-73.65,59.79,69,4,8.77,clear sky
212,Phuntsholing,BT,26.8516,89.3884,74.35,60,55,6.26,broken clouds
